PERMNO,DLC,DLTT,DATE,COMNAM,RET,me,f,ym,TCMNOM_Y1,ir
11042,7200,12494,2001/7/2,WORLDCOM INC GA NEW,0.04295779,43793.61554,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/3,WORLDCOM INC GA NEW,-0.02295747,42788.22489,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/5,WORLDCOM INC GA NEW,-0.013130652,42226.38761,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/6,WORLDCOM INC GA NEW,-0.030812297,40925.29565,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/9,WORLDCOM INC GA NEW,0.031069387,42196.81945,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/10,WORLDCOM INC GA NEW,-0.002102361,42108.10652,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/11,WORLDCOM INC GA NEW,-0.005617972,41871.54435,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/12,WORLDCOM INC GA NEW,0.005649712,42108.10652,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/13,WORLDCOM INC GA NEW,0.018258443,42876.935,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/16,WORLDCOM INC GA NEW,0.006206907,43143.06815,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/17,WORLDCOM INC GA NEW,0.002741601,43261.34924,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/18,WORLDCOM INC GA NEW,-0.023923472,42226.38761,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/19,WORLDCOM INC GA NEW,-0.006302532,41960.25446,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/20,WORLDCOM INC GA NEW,-0.025369955,40895.72467,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/23,WORLDCOM INC GA NEW,0.010845959,41339.27805,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/24,WORLDCOM INC GA NEW,-0.032904085,39979.04695,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/25,WORLDCOM INC GA NEW,-0.01257397,39476.35163,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/26,WORLDCOM INC GA NEW,0.087640449,42936.07695,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/27,WORLDCOM INC GA NEW,0.04752063,44976.42641,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/30,WORLDCOM INC GA NEW,-0.063116372,42137.6775,13447,200107,3.62,0.0362
11042,7200,12494,2001/7/31,WORLDCOM INC GA NEW,-0.01754386,41398.42,13447,200107,3.62,0.0362
11042,7200,12494,2001/8/1,WORLDCOM INC GA NEW,0.049999986,43468.34044,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/2,WORLDCOM INC GA NEW,-0.004081596,43290.92022,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/3,WORLDCOM INC GA NEW,-0.025273215,42196.81945,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/6,WORLDCOM INC GA NEW,-0.01401547,41605.4112,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/7,WORLDCOM INC GA NEW,0.004264422,41782.83424,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/8,WORLDCOM INC GA NEW,-0.020523706,40925.29565,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/9,WORLDCOM INC GA NEW,-0.04335263,39151.07652,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/10,WORLDCOM INC GA NEW,0.031722061,40393.02935,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/13,WORLDCOM INC GA NEW,0.007320672,40688.73348,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/14,WORLDCOM INC GA NEW,0.018895365,41457.56195,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/15,WORLDCOM INC GA NEW,-0.014265389,40866.1537,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/16,WORLDCOM INC GA NEW,0.00506517,41073.14772,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/17,WORLDCOM INC GA NEW,-0.025198011,40038.18609,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/20,WORLDCOM INC GA NEW,-0.002215638,39949.47598,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/21,WORLDCOM INC GA NEW,-0.008142162,39624.20087,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/22,WORLDCOM INC GA NEW,-0.012686573,39121.50555,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/23,WORLDCOM INC GA NEW,-0.012849518,38618.81304,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/24,WORLDCOM INC GA NEW,0.035987694,40008.61511,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/27,WORLDCOM INC GA NEW,-0.019216502,39239.78945,13447,200108,3.47,0.0347
11042,7200,12494,2001/8/28,WORLDCOM INC GA NEW,-0.022607399,38352.67989,13447,200108,3.47,0.0347
